participant_id,rate,n_trials,max_speechrate,q90_speechrate,q95_speechrate,max_articulationrate,q90_articulationrate,q95_articulationrate,co_me_mean_mm,height_cm,co_me_mean_mm_10,height_cm_c
sub-705,fast,119,6.027444691,5.028620949,5.337615212299999,7.011106483,6.029011968000001,6.2006020912999995,122.30999999999999,168.0,12.231,-1.5456112273790552
sub-705,normal,179,4.821955753,3.520034664,3.7539522952999986,5.90174465,4.3167649254,4.7568538779,122.31,168.0,12.231000000000002,-1.5456112273790554
sub-726,fast,119,5.669323492,5.028620949,5.223785399,7.575757576,6.242017681,6.5291925146,112.13,184.0,11.213,14.454388772620945
sub-726,normal,180,5.159638084,3.680632483,4.304837272249999,6.320224719,5.359040458999999,5.5001515101,112.12999999999998,184.0,11.213,14.454388772620945
sub-779,fast,120,6.403601118,5.6299858897,5.746405198499999,7.564733362,6.6414142052,6.8824896212,100.66,162.0,10.065999999999999,-7.545611227379055
sub-779,normal,180,4.018296461,2.812807523,3.1470041105999993,4.872562062,3.6693092338,3.7877100381999993,100.66,162.0,10.065999999999999,-7.545611227379054
sub-787,fast,120,6.429274338,4.872991524,5.202925908,7.676407233,5.895739106300001,6.046425795349999,106.675,169.0,10.6675,-0.5456112273790552
sub-787,normal,180,5.732931205,4.525758854,4.8036635847,6.880866079,5.569100853,5.9381649208499985,106.675,169.0,10.6675,-0.5456112273790552
sub-807,fast,119,6.859898372,6.003376048,6.3023435904,7.983855509,7.2815169832,7.593639317799999,106.735,170.0,10.6735,0.4543887726209448
sub-807,normal,180,5.716581977,4.420126107,4.872991524,7.128165548,5.713126229699999,6.105948297349999,106.735,170.0,10.6735,0.4543887726209448
sub-860,fast,120,4.402475769,4.013051843,4.018296461,5.2851658,4.8383086421,4.920205097649999,106.025,161.0,10.602500000000001,-8.545611227379055
sub-860,normal,179,4.349838389,2.8599259108,3.2277764050999993,5.262500849,3.7705871760000007,4.100701626,106.025,161.0,10.602500000000001,-8.545611227379055
sub-869,fast,118,4.015235436,2.7142491834999998,3.3365661757,6.944444444,4.7931740581,5.208333333,114.24,172.0,11.424,2.454388772620945
sub-869,normal,167,3.520034664,2.00914823,2.3836114945999993,5.514705882,4.0890899474,4.420617389299999,114.24,172.0,11.424,2.454388772620945
sub-875,fast,120,6.669792344,5.019044295,5.2293878228,6.932852374,5.9911368208,6.2741219059499995,121.37000000000002,158.0,12.137,-11.545611227379055
sub-875,normal,180,5.159638084,3.602025629,4.001875406,5.78328421,4.4271468378,4.803949086349999,121.37000000000002,158.0,12.136999999999999,-11.545611227379055
sub-881,fast,120,6.574069273,5.6927183014,6.027789713400001,7.750998592,7.0461099045,7.2651760133,96.235,160.0,9.6235,-9.545611227379055
sub-881,normal,180,3.680632483,3.0120011762,3.214637169,4.412761128,3.838203616,3.9872038372999987,96.235,160.0,9.6235,-9.545611227379055
sub-891,fast,120,4.85909468,4.586344964,4.66963397605,5.996111365,5.496021749,5.626031675699999,121.75499999999998,173.0,12.1755,3.454388772620945
sub-891,normal,179,4.586344964,3.0125757754,3.2266630692999994,5.404842297,3.7716722510000005,3.9643237182999997,121.755,173.0,12.1755,3.454388772620945
sub-987,fast,119,5.688250201,5.1682956488,5.223785399,6.845737599,6.3162888831999995,6.4366687474,111.07,170.0,11.107,0.4543887726209448
sub-987,normal,180,4.018296461,3.34602953,3.619062763699999,5.535156402,4.3271201288,4.706986564549998,111.07,170.0,11.107,0.4543887726209448
sub-989,fast,60,4.802700839,4.2922293362,4.33608869225,5.862575714,5.2734879261000005,5.427452584299998,128.51999999999998,163.0,12.851999999999999,-6.545611227379055
sub-989,normal,180,4.668854641,3.6086616449999993,4.00343485235,6.302652025,4.929429746,5.334305699399998,128.51999999999998,163.0,12.851999999999999,-6.545611227379054
