figure,panel,outcome_id,outcome_label,participant_id,rate,co_me_mean_mm,height_cm,n_observations,n_sequences,speaker_mean,outcome_unit,rate_label,sequence_scope,descriptive_summary
Figure 1,A,log_speechrate,Speech rate,sub-881,fast,96.234999999999999,160,120,6,4.9681756802666666,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-881,normal,96.234999999999999,160,120,6,2.2923317522916666,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-891,fast,121.755,173,120,6,4.1220512877750002,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-891,normal,121.755,173,119,6,2.4376828017394958,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-987,fast,111.06999999999999,170,119,6,3.9783956759243697,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-987,normal,111.06999999999999,170,120,6,2.5210886446499998,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-989,fast,128.51999999999998,163,60,6,3.206987591316667,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-989,normal,128.51999999999998,163,120,6,2.6329801566833333,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-055,fast,96.784999999999997,160,120,6,4.7397897980583341,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-055,normal,96.784999999999997,160,119,6,3.6223064737226891,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-105,fast,112.035,173,120,6,5.963903466283333,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-105,normal,112.035,173,120,6,4.1424861212333335,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-125,fast,101,171,119,6,4.6515259282268904,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-125,normal,101,171,120,6,3.5949784121083335,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-159,fast,118.04000000000001,162,120,6,3.7420479603916665,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
