figure,panel,outcome_id,outcome_label,participant_id,rate,co_me_mean_mm,height_cm,n_observations,n_sequences,speaker_mean,outcome_unit,rate_label,sequence_scope,descriptive_summary
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-705,normal,122.31,168,49,8,1.8867115510072039,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-726,fast,112.13,184,94,6,4.0188600647858337,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-726,normal,112.13,184,130,9,2.9968870416283644,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-779,fast,100.66,162,100,5,5.4068027225839126,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-779,normal,100.66,162,52,9,3.2213446679774949,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-787,fast,106.675,169,95,5,4.0512489335596067,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-787,normal,106.675,169,107,9,3.2506803929943309,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-860,fast,106.02500000000001,161,102,6,4.0483913232195601,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-860,normal,106.02500000000001,161,96,9,2.3265765421433025,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-869,fast,114.23999999999999,172,2,2,1.3258511331976526,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-869,normal,114.23999999999999,172,22,8,1.4237278686594523,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-875,fast,121.37,158,93,6,3.4034510030653711,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-875,normal,121.37,158,105,9,2.322256984708488,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-891,fast,121.755,173,102,6,4.0696722357962152,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-891,normal,121.755,173,80,9,3.191793414481781,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-987,fast,111.06999999999999,170,77,6,3.3948376131125393,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-987,normal,111.06999999999999,170,111,9,1.9285210011864029,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-989,fast,128.51999999999998,163,51,6,2.5157623649119887,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-989,normal,128.51999999999998,163,42,8,1.8904284629831987,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-055,fast,96.784999999999997,160,66,6,3.0575940258605918,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-055,normal,96.784999999999997,160,69,9,3.4927667567582397,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-105,normal,112.035,173,23,9,3.3560920020697624,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-125,fast,101,171,73,6,3.2268220605996416,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-125,normal,101,171,50,9,3.8581502913128753,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-159,fast,118.04000000000001,162,67,6,3.7103891702017493,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-159,normal,118.04000000000001,162,104,9,2.7917419385834714,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-191,fast,102.36499999999999,160,102,6,2.4993734661067339,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-191,normal,102.36499999999999,160,96,9,2.4899329353196511,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-246,fast,102,175,85,6,1.7294638741961612,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-246,normal,102,175,79,9,2.2054550397185579,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-401,fast,133.38999999999999,181,48,6,1.3864628864194957,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-401,normal,133.38999999999999,181,76,9,1.4905504982903508,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-471,fast,132.27000000000001,187,80,6,1.1214706192162258,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-471,normal,132.27000000000001,187,46,9,1.1291309171220012,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-586,fast,110.315,177,100,6,1.6218093662243236,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-586,normal,110.315,177,130,9,3.3341050025723362,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-612,fast,101.13500000000001,167,91,6,3.3790791313135817,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-612,normal,101.13500000000001,167,106,9,3.8655532605725149,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-647,fast,106.995,160,113,6,2.4138453725445199,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-647,normal,106.995,160,62,9,1.5812391629594595,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-652,normal,92.739999999999995,160,51,9,1.9199959210106761,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-705,fast,122.31,168,96,6,2.2513647283945897,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-705,normal,122.31,168,49,8,2.5847343000955676,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-726,fast,112.13,184,94,6,2.3481916715423807,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-726,normal,112.13,184,130,9,3.0868634489957687,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-779,fast,100.66,162,100,5,1.0495321989084234,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-779,normal,100.66,162,52,9,1.7047219088229493,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-787,fast,106.675,169,95,5,6.1508471395253572,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-787,normal,106.675,169,107,9,4.5347798418705327,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-860,fast,106.02500000000001,161,102,6,2.7245920348605046,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-860,normal,106.02500000000001,161,96,9,2.7627209221396236,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-869,fast,114.23999999999999,172,2,2,0.46347243303286279,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-869,normal,114.23999999999999,172,22,8,0.51198316164447288,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-875,fast,121.37,158,93,6,1.6224276506292026,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
